Description,Index
"La Comédie humaine - Vol. 7, by Honoré de Balzac                         
 [Subtitle: Scènes de la vie de province - Tome III]
 [Language: French]",52831
"Oeuvres complètes de Guy de Maupassant, Vol. 8, by Guy de Maupassant     
 [Language: French]",52753
"Victor Hugo, by Théophile Gautier                                        
 [Language: French]",51977
"Romans et contes, by Théophile Gautier                                   
 [Language: French]",51632
"Oeuvres complètes de Guy de Maupassant, Vol. 7, by Guy de Maupassant     
 [Language: French]",51423
"La Comédie Humaine, Vol. 6, by Honoré de Balzac                          
 [Subtitle: Scènes de la vie de Province - Tome II]
 [Language: French]",51381
"L'autre monde ou Histoire comique des Etats et Empires de la Lune,       
 by Savinien de Cyrano de Bergerac
 [Illustrator: Albert Robida]
 [Language: French]",51338
"OEuvres complètes, de Guy de Maupassant                                  
 [Language: French]",51266
"Delphine Gay, Mme de Girardin, dans ses rapports avec Lamartine,         
 Victor Hugo, Balzac, Rachel, Jules Sandeau, Dumas, Eugène Sue,
 by Leon Séché
 [Language: French]",51156
"Clio, by Anatole France                                                  
 [Illustrator: N. Mucha]
 [Language: French]",50664
"Lettres à Mademoiselle de Volland, by Denis Diderot                      
 [Language: French]",50605
"Elémens de la philosophie de Neuton, by Francois-Marie de Voltaire       
 [Subtitle: Mis à la portée de tout le monde]
 [Language: French]",50340
"Contes de lundi, by Alphonse Daudet                                      
 [Language: French]",50154
"Oeuvres complètes de Guy de Maupassant, Vol. 5, by Guy de Maupassant     
 [Language: French]",50144
"OEuvres complètes de Gustave Flaubert, tome 3, by Gustave Flaubert       
 [Language: French]",49773
"La Comédie humaine, Vol. 5, by Honoré de Balzac                          
 [Subtitle: Scènes de la vie de Province - Tome 1]
 [Language: French]",49482
"OEuvres complètes de Gustave Flaubert, tome 2, by Gustave Flaubert       
 [Language: French]",48881
"Ouvres complètes de Gustave Flaubert, Tome 1 of 8, by Gustave Flaubert   
 [Subtitle: Madame Bovary; Édition definitive
  d'après les manuscrits originaux]
 [Language: French]",48359
"La Comédie humaine, Vol. 4, by Honoré de Balzac                          
 [Language: French]",48082
