Author,Title,Year,Themes,Author_Cleaned,Description,Index
Voltaire                                             ,Jeannot et Colin,1746,"Critique, Décadence, Vie sociale et mœurs, Pouvoir, Justice, Éducation et Conduite de la vie, Fiction historique, Comédie, Satire, Arts et Culture, Coutumes",Voltaire,"Jeannot et Colin, by Voltaire                                             
 [Language: French]",4772
Voltaire                                          ,Le Blanc et le Noir,1746,"Critique, Décadence, Vie sociale et mœurs, Pouvoir, Justice, Éducation et Conduite de la vie, Fiction historique, Comédie, Satire, Arts et Culture, Coutumes",Voltaire,"Le Blanc et le Noir, by Voltaire                                          
 [Language: French]",4771
Voltaire                          ,Histoire des Voyages de Scarmentado,1746,"Critique, Décadence, Vie sociale et mœurs, Pouvoir, Justice, Éducation et Conduite de la vie, Fiction historique, Comédie, Satire, Arts et Culture, Coutumes",Voltaire,"Histoire des Voyages de Scarmentado, by Voltaire                          
 [Subtitle:  Romans Vol. 6]
 [Language: French]",4718
Voltaire                                         ,Micromegas,1746,"Critique, Décadence, Vie sociale et mœurs, Pouvoir, Justice, Éducation et Conduite de la vie, Fiction historique, Comédie, Satire, Arts et Culture, Coutumes",Voltaire,"Micromegas, Volume 3, by Voltaire                                         
 [Language: French]",4649
Voltaire                                             ,Memnon,1746,"Critique, Décadence, Vie sociale et mœurs, Pouvoir, Justice, Éducation et Conduite de la vie, Fiction historique, Comédie, Satire, Arts et Culture, Coutumes",Voltaire,"Memnon, Volume 2, by Voltaire                                             
 [Language: French]",4648
Voltaire                                              ,Zadig,1746,"Critique, Décadence, Vie sociale et mœurs, Pouvoir, Justice, Éducation et Conduite de la vie, Fiction historique, Comédie, Satire, Arts et Culture, Coutumes",Voltaire,"Zadig, by Voltaire                                                       
 [Subtitle: Or, The Book of Fate]",18972
Voltaire                                               ,Vie de Molière,1746,"Critique, Décadence, Vie sociale et mœurs, Pouvoir, Justice, Éducation et Conduite de la vie, Fiction historique, Comédie, Satire, Arts et Culture, Coutumes",Voltaire,"Vie de Molière, by Voltaire                                               
 [Language: French]",3644
Émile Zola                 ,Ed,1885,"Décadence, Société et politique",Émile Zola,"Ed. Manet, étude biographique et critique, by Émile Zola                 
 [Language: French]",57461
Émile Zola                                       ,La vérité en marche,1885,"Décadence, Société et politique",Émile Zola,"La vérité en marche, by Émile Zola                                       
 [Subtitle: L'affaire Dreyfus]
 [Language: French]",56808
Émile Zola                              ,Son Excellence Eugène Rougon,1885,"Décadence, Société et politique",Émile Zola,"Son Excellence Eugène Rougon, by Émile Zola                              
 [Language: French]",17557
Émile Zola                                                  ,La curée,1885,"Décadence, Société et politique",Émile Zola,"La curée, by Émile Zola                                                  
 [Language: French]",17553
Émile Zola                                                   ,Le rêve,1885,"Décadence, Société et politique",Émile Zola,"Le rêve, by Émile Zola                                                   
 [Language: French]",17533
Émile Zola                                      ,Au bonheur des dames,1885,"Décadence, Société et politique",Émile Zola,"Au bonheur des dames, by Émile Zola                                      
 [Language: French]",16852
Émile Zola                                             ,Contes à Ninon,1885,"Décadence, Société et politique",Émile Zola,"Contes à Ninon, by Émile Zola                                             
 [Language: French]",7462
Émile Zola                                         ,Le Ventre de Paris,1885,"Décadence, Société et politique",Émile Zola,"Le Ventre de Paris, by Émile Zola                                         
 [Language: French]",6470
